STORE ID, NAME, CITY, STATE, ZIP, CUSTOMER ACCOUNT NUMBER, ORDER_ID, SKU, ORDER AMOUNT, DATETIME 
1074,GEORGETOWN,Washington,Distr. Of Columbia,20007,8.22191E+18,1.07402E+23,IN20100/X,149.00,20130801080012
1226,WILLOW BEND,Plano,Texas,75093,5.03091E+18,1.22602E+23,IC299901/S,19.00,20130801080012
1089,INTERNATIONAL PLAZA,Tampa,Florida,33607,3.00332E+18,1.08902E+23,IC199901/A,39.00,20130801080012
1221,STONEBRIAR,Frisco,Texas,75034,2.04963E+18,1.22102E+23,IP40000/Z,450.00,20130801080012
1176,UPPER WEST SIDE,New York,New York,10023,2.90793E+18,1.17602E+23,IC299901/S,19.00,20130801080012
1005,ARROWHEAD,Glendale,Arizona,85308,8.52258E+18,1.00502E+23,AT02340/A,299.00,20130801080012
1132,NORTHSHORE,Peabody,Massachusetts,1960,2.85617E+18,1.13202E+23,AT210004/Z,99.00,20130801080012
1084,LINCOLN ROAD,Miami Beach,Florida,33139,3.45728E+18,1.08402E+23,AE20004/A,199.00,20130801080012
1054,THIRD STREET PROMENADE,Santa Monica,California,90401,1.92019E+18,1.05402E+23,IC199901/A,19.00,20130801080012
1011,4TH STREET,Berkeley,California,94710,2.94364E+18,1.01102E+23,AE20004/A,199.00,20130801080012
1231,THE WOODLANDS,The Woodlands,Texas,77380,5.84805E+18,1.23102E+23,IG139901/A,23.00,20130801080012
1101,NORTH MICHIGAN AVENUE,Chicago,Illinois,60611,9.45588E+18,1.10102E+23,AT02340/A,299.00,20130801080012
1195,PIONEER PLACE,Portland,Oregon,97204,9.91639E+18,1.19502E+23,IG139901/A,23.00,20130801080012
1219,UNIVERSITY PARK VILLAGE,Fort Worth,Texas,76107,1.66117E+18,1.21902E+23,IA19201/S,599.00,20130801080012
1092,LENOX SQUARE,Atlanta,Georgia,30326,8.66843E+18,1.09202E+23,AE20004/A,199.00,20130801080012
1027,CENTURY CITY,Los Angeles,California,90067,5.53095E+17,1.02702E+23,IG139901/A,23.00,20130801080012
1019,SOUTH COAST PLAZA,Costa Mesa,California,92626,7.58383E+18,1.01902E+23,IC199901/A,19.00,20130801080012
1188,CRABTREE VALLEY MALL,Raleigh,North Carolina,27612,2.89446E+18,1.18802E+23,IM634033/R,329.00,20130801080012
1228,NORTH STAR,San Antonio,Texas,78216,6.8604E+17,1.22802E+23,AT02340/A,299.00,20130801080012
1194,ETON,Woodmere,Ohio,44122,4.77834E+18,1.19402E+23,AT210004/Z,99.00,20130801080012
1174,GRAND CENTRAL,New York,New York,10017,3.36941E+18,1.17402E+23,IC199901/A,39.00,20130801080012
1188,CRABTREE VALLEY MALL,Raleigh,North Carolina,27612,1.33258E+18,1.18802E+23,IC299901/S,19.00,20130801080012
1162,ROCKAWAY,Rockaway,New Jersey,7866,1.88064E+18,1.16202E+23,IA18201/S,499.00,20130801080012
1021,NORTH COUNTY,Escondido,California,92025,5.95644E+18,1.02102E+23,IC299901/S,19.00,20130801080012
